fr24_id,orig_icao,dest_icao_actual,datetime_takeoff,step_landed,hex
3d52ea0b,LBSF,EPKK,2025-12-01T04:59:15Z,1,471F63
3d52ecb8,LGTS,EPKK,2025-12-01T05:04:05Z,138,4D2346
3d52ed80,LIRF,EPKK,2025-12-01T05:11:17Z,171,4D206B
3d52f69b,LIRN,EPKK,2025-12-01T05:25:52Z,247,4CAD3B
3d52f51e,EFHK,EPKK,2025-12-01T05:16:42Z,281,461E1F
3d52e94a,LMML,EPKK,2025-12-01T04:58:18Z,308,4CAC85
3d530639,LYBE,EPKK,2025-12-01T05:53:33Z,369,4C0176
3d532496,EPGD,EPKK,2025-12-01T07:02:43Z,570,48C126
3d5315e3,LSZH,EPKK,2025-12-01T06:35:11Z,596,4B181C
3d5304a4,EGAA,EPKK,2025-12-01T05:46:05Z,654,407F0E
3d530a66,LFPG,EPKK,2025-12-01T06:20:27Z,680,4400E3
3d52efb2,LEBL,EPKK,2025-12-01T05:50:54Z,701,4CA4F4
3d5309da,EGBB,EPKK,2025-12-01T06:07:39Z,720,408051
3d5323ed,EDDF,EPKK,2025-12-01T07:03:11Z,744,3C64B1
3d53032c,EINN,EPKK,2025-12-01T05:51:45Z,766,4CADC2
3d5324be,EHAM,EPKK,2025-12-01T07:08:02Z,836,440CBE
3d52ed61,LEMG,EPKK,2025-12-01T05:09:15Z,855,4CA84C
3d532b6d,EKCH,EPKK,2025-12-01T07:31:37Z,873,4ACA70
3d5328ad,EYVI,EPKK,2025-12-01T07:38:14Z,886,4D24AE
3d52eed1,LLBG,EPKK,2025-12-01T05:19:45Z,899,48AF02
3d531381,EIDW,EPKK,2025-12-01T06:30:06Z,915,48C235
3d53237a,EGGP,EPKK,2025-12-01T06:59:37Z,1012,406D8F
3d5337e7,LIMC,EPKK,2025-12-01T07:45:09Z,1036,471DBF
3d533887,LIME,EPKK,2025-12-01T07:54:52Z,1075,48C12B
3d53273f,EGGP,EPKK,2025-12-01T07:13:30Z,1090,4D2261
3d534173,LBSF,EPKK,2025-12-01T08:08:21Z,1128,48C134
3d532842,EGAA,EPKK,2025-12-01T07:08:54Z,1156,4078FE
3d532e55,EGGW,EPKK,2025-12-01T07:39:38Z,1170,4CA6A9
3d530c50,LPPR,EPKK,2025-12-01T06:18:55Z,1186,4CADE0
3d533815,EGSS,EPKK,2025-12-01T07:50:03Z,1226,424C98
3d52ce97,OMDB,EPKK,2025-12-01T04:04:33Z,1258,896689
3d533c2e,EGKK,EPKK,2025-12-01T07:54:19Z,1290,407666
3d533e61,EGSS,EPKK,2025-12-01T08:05:45Z,1327,48C133
3d5329e1,LEAL,EPKK,2025-12-01T07:14:42Z,1400,48C2AF
3d5350b6,EHAM,EPKK,2025-12-01T08:42:21Z,1420,486804
3d53805b,EPKK,EPKK,2025-12-01T10:03:40Z,1434,48D827
3d5358a6,LIMC,EPKK,2025-12-01T08:56:38Z,1474,4D2303
3d537403,EPWA,EPKK,2025-12-01T09:54:57Z,1491,48ADA4
3d535908,LFPG,EPKK,2025-12-01T08:55:24Z,1599,3986E3
3d53665f,EDDL,EPKK,2025-12-01T09:25:17Z,1624,3C5EE8
3d5343da,LEBL,EPKK,2025-12-01T08:22:58Z,1643,4D200E
3d535590,EGGW,EPKK,2025-12-01T09:04:35Z,1701,4D241E
3d5367b4,ENGM,EPKK,2025-12-01T09:25:22Z,1724,47880F
3d536931,ENTO,EPKK,2025-12-01T09:34:37Z,1749,48C2B8
3d5378a9,EDDF,EPKK,2025-12-01T09:59:47Z,1768,3C6654
3d537b83,EKCH,EPKK,2025-12-01T10:06:44Z,1800,4D23F9
3d5361bb,EGNM,EPKK,2025-12-01T09:14:57Z,1818,48C22E
3d5359fc,EGHH,EPKK,2025-12-01T09:13:08Z,1831,48C22D
3d5377c0,EBBR,EPKK,2025-12-01T09:57:49Z,1878,44CE6F
3d534c56,LCLK,EPKK,2025-12-01T08:41:49Z,1939,471FA0
3d5356de,LCPH,EPKK,2025-12-01T08:52:36Z,1951,48C2A9
3d538f5b,EDDM,EPKK,2025-12-01T10:46:56Z,1974,3C666E
3d5376c7,EGNT,EPKK,2025-12-01T09:58:58Z,2092,48C1A6
3d52db8d,KORD,EPKK,2025-12-01T04:31:41Z,2222,48AE26
3d5384a7,EGCC,EPKK,2025-12-01T10:31:39Z,2274,4D2222
3d53bb67,EPWA,EPKK,2025-12-01T12:04:29Z,2314,48B442
3d53a11b,EHAM,EPKK,2025-12-01T11:13:13Z,2339,484C54
3d53bd4a,LOWW,EPKK,2025-12-01T11:58:41Z,2372,4AB56B
3d53a743,LIRA,EPKK,2025-12-01T11:24:40Z,2392,48C126
3d53cac1,EPKK,EPKK,2025-12-01T12:12:32Z,2406,48D827
3d53ca6f,LOWW,EPKK,2025-12-01T12:29:03Z,2473,4D22B9
3d53d8d4,EPWA,EPKK,2025-12-01T12:57:20Z,2575,48AC80
3d53c918,LHBP,LKMT,2025-12-01T12:41:16Z,2697,48C58C
3d53bc28,EETN,EPKK,2025-12-01T12:13:24Z,2699,4D24AE
3d53adbe,EGPH,EPKK,2025-12-01T11:33:32Z,2721,407575
3d53bb6e,LICJ,EPKK,2025-12-01T11:59:25Z,2735,4CAD29
3d53eccb,EPPW,EPKK,2025-12-01T13:02:45Z,2754,48D856
3d53af82,LMML,EPKK,2025-12-01T11:42:12Z,2768,4CA73F
3d53bee8,EGBB,EPKK,2025-12-01T12:05:35Z,2799,4D2290
3d53df76,LIPE,EPKK,2025-12-01T12:54:03Z,2851,48C12B
