id,type,name,x,y,notes
1,runway_thr,RWY_07,2,27,Threshold runway 07
2,runway_thr,RWY_25,66,27,Threshold runway 25
5,taxiway,TWY_F_START,2,20,Początek taxiway F
7,taxiway,TWY_D_START,25,20,Początek taxiway D
8,taxiway,TWY_D_END,25,27,Koniec taxiway D
9,taxiway,TWY_C_START,43,20,Początek taxiway C
10,taxiway,TWY_C_END,43,27,Koniec taxiway C
11,taxiway,TWY_A_START,66,20,Początek taxiway A
13,stand,STAND_1,30,9,Stanowisko postojowe 1
14,stand,STAND_2,32,9,Stanowisko postojowe 2
15,stand,STAND_3,33,9,Stanowisko postojowe 3
16,stand,STAND_4,35,9,Stanowisko postojowe 4
17,stand,STAND_5,37,9,Stanowisko postojowe 5
18,stand,STAND_6,38,9,Stanowisko postojowe 6
19,stand,STAND_7,38,10,Stanowisko postojowe 7
20,stand,STAND_8,39,11,Stanowisko postojowe 8
21,stand,STAND_9,39,12,Stanowisko postojowe 9
22,stand,STAND_10,39,18,Stanowisko postojowe 10
23,stand,STAND_11,39,17,Stanowisko postojowe 11
24,stand,STAND_12,39,16,Stanowisko postojowe 12
25,stand,STAND_13,35,11,Stanowisko postojowe 13
26,stand,STAND_14,34,11,Stanowisko postojowe 14
27,stand,STAND_15,33,11,Stanowisko postojowe 15
28,stand,STAND_16,32,11,Stanowisko postojowe 16
29,connector,CONN_APRON,30,16,Centralny punkt płyty postojowej
31,connector,CONN_APRON,37,10,Aprom STAND_5_6_7
34,connector,CONN_3,40,14,Łącznik 3
36,connector,CONN_5,26,20,Aprom entry 1 (Triangle Left)
37,connector,CONN_6,34,20,Aprom entry 2 (Triangle Right)
38,connector,CONN_7,30,10,Aprom STAND_1
39,connector,CONN_8,32,10,Aprom STAND_2_16
40,connector,CONN_9,33,10,Aprom STAND_3_15
41,connector,CONN_10,34,10,Aprom STAND_14
42,connector,CONN_11,35,10,Aprom STAND_4_13
43,connector,CONN_13,38,11,Aprom STAND_8
44,connector,CONN_14,38,12,Aprom STAND_9
45,connector,CONN_15,40,16,Aprom STAND_12
46,connector,CONN_16,40,17,Aprom STAND_11
47,connector,CONN_17,40,18,Aprom STAND_10
